date,y
1993M03,70.049188
1993M04,70.150766
1993M05,70.219509
1993M06,70.331026
1993M07,70.480687
1993M08,70.684136
1993M09,70.893287
1993M10,70.96029
1993M11,70.901218
1993M12,71.08285
1994M01,71.320735
1994M02,71.486349
1994M03,71.609059
1994M04,71.805588
1994M05,71.876434
1994M06,71.97664
1994M07,71.969182
1994M08,72.200557
1994M09,72.232067
1994M10,72.247509
1994M11,72.442399
1994M12,72.711529
1995M01,72.986774
1995M02,73.149296
1995M03,73.364915
1995M04,73.495245
1995M05,73.672477
1995M06,73.869573
1995M07,74.057457
1995M08,74.22884
1995M09,74.420773
1995M10,74.45074
1995M11,74.56066
1995M12,74.889721
1996M01,75.110393
1996M02,75.356276
1996M03,75.480015
1996M04,75.632782
1996M05,75.783162
1996M06,75.975133
1996M07,75.982473
1996M08,76.226445
1996M09,76.432663
1996M10,76.644419
1996M11,76.824906
1996M12,76.981732
1997M01,77.104377
1997M02,77.147223
1997M03,77.161324
1997M04,77.204922
1997M05,77.359381
1997M06,77.568175
1997M07,77.828313
1997M08,77.994231
1997M09,78.114536
1997M10,78.28197
1997M11,78.362429
1997M12,78.405658
1998M01,78.478159
1998M02,78.59681
1998M03,78.71884
1998M04,78.846021
1998M05,79.003766
1998M06,79.015252
1998M07,79.174366
1998M08,79.233599
1998M09,79.439992
1998M10,79.517318
1998M11,79.697933
1998M12,79.823796
1999M01,80.031577
1999M02,80.077214
1999M03,80.350056
1999M04,80.390705
1999M05,80.45613
1999M06,80.442817
1999M07,80.508387
1999M08,80.559854
1999M09,80.663412
1999M10,80.751768
1999M11,80.890383
1999M12,81.015961
2000M01,80.967646
2000M02,81.07002
2000M03,81.14398
2000M04,81.19145
2000M05,81.245013
2000M06,81.420479
2000M07,81.496734
2000M08,81.328257
2000M09,81.763694
2000M10,81.87041
2000M11,82.06784
2000M12,82.036068
2001M01,81.981513
2001M02,82.075308
2001M03,82.179402
2001M04,82.426887
2001M05,82.758645
2001M06,82.945166
2001M07,82.846071
2001M08,82.979411
2001M09,83.088062
2001M10,83.079351
2001M11,83.11256
2001M12,83.16752
2002M01,83.386787
2002M02,83.505582
2002M03,83.605658
2002M04,83.726839
2002M05,83.801149
2002M06,83.898859
2002M07,84.012832
2002M08,84.0996
2002M09,84.233759
2002M10,84.389139
2002M11,84.451149
2002M12,84.563603
2003M01,84.620256
2003M02,84.732437
2003M03,84.911529
2003M04,85.034708
2003M05,84.936639
2003M06,84.941172
2003M07,85.103628
2003M08,85.203664
2003M09,85.359283
2003M10,85.501171
2003M11,85.564606
2003M12,85.669785
2004M01,85.823933
2004M02,85.914507
2004M03,85.925407
2004M04,85.981427
2004M05,86.141263
2004M06,86.249944
2004M07,86.320579
2004M08,86.387913
2004M09,86.406742
2004M10,86.631081
2004M11,86.890339
2004M12,87.085345
2005M01,87.278303
2005M02,87.372958
2005M03,87.578381
2005M04,87.642395
2005M05,87.827532
2005M06,87.941894
2005M07,88.274722
2005M08,88.380149
2005M09,88.588629
2005M10,88.723368
2005M11,88.806242
2005M12,88.972411
2006M01,89.171157
2006M02,89.259315
2006M03,89.387029
2006M04,89.646656
2006M05,89.941271
2006M06,90.249661
2006M07,90.49813
2006M08,90.685524
2006M09,90.807199
2006M10,90.984134
2006M11,91.225242
2006M12,91.490528
2007M01,91.54318
2007M02,91.710347
2007M03,91.983871
2007M04,92.084743
2007M05,92.183471
2007M06,92.480075
2007M07,92.274407
2007M08,92.464416
2007M09,92.603367
2007M10,92.982627
2007M11,93.32221
2007M12,93.628181
2008M01,93.779483
2008M02,94.107803
2008M03,94.366808
2008M04,94.838288
2008M05,95.236279
2008M06,95.932616
2008M07,96.201013
2008M08,96.569487
2008M09,96.941401
2008M10,96.884893
2008M11,96.912831
2008M12,96.520512
2009M01,96.579059
2009M02,96.926792
2009M03,96.973987
2009M04,96.981959
2009M05,97.262047
2009M06,97.58899
2009M07,97.762648
2009M08,97.893373
2009M09,97.944099
2009M10,98.098059
2009M11,98.343601
2009M12,98.555763
2010M01,98.911635
2010M02,98.974344
2010M03,99.282084
2010M04,99.541996
2010M05,99.71123
2010M06,99.945787
2010M07,100.03372
2010M08,100.23925
2010M09,100.30048
2010M10,100.54383
2010M11,100.88156
2010M12,101.68558
2011M01,102.2379
2011M02,102.57159
2011M03,102.84495
2011M04,103.27584
2011M05,103.47712
2011M06,103.68301
2011M07,103.92526
2011M08,104.1791
2011M09,104.81696
2011M10,104.82168
2011M11,105.07647
2011M12,105.29162
2012M01,105.50523
2012M02,105.76961
2012M03,105.92902
2012M04,106.16267
2012M05,106.14881
2012M06,106.09421
2012M07,106.38238
2012M08,106.62122
2012M09,106.93698
2012M10,107.32943
2012M11,107.61926
2012M12,107.8237
2013M01,108.0799
2013M02,108.32873
2013M03,108.55531
2013M04,108.56361
2013M05,108.70546
2013M06,108.72495
2013M07,108.94478
2013M08,109.15627
2013M09,109.42576
2013M10,109.54768
2013M11,109.64211
2013M12,109.90558
2014M01,109.99402
2014M02,110.14628
2014M03,110.25431
2014M04,110.3727
2014M05,110.26247
2014M06,110.67347
2014M07,110.69438
2014M08,110.79569
2014M09,110.85703
2014M10,110.95573
2014M11,110.81603
2014M12,110.71629
2015M01,110.57939
2015M02,110.62013
2015M03,110.61771
2015M04,110.7235
2015M05,110.83776
2015M06,111.00193
2015M07,111.1112
2015M08,111.19474
2015M09,111.09968
2015M10,111.19449
2015M11,111.24885
2015M12,111.26416
2016M01,111.33374
2016M02,111.31192
2016M03,111.48128
2016M04,111.50477
2016M05,111.65612
2016M06,111.96292
2016M07,112.12084
2016M08,112.2394
2016M09,112.49674
2016M10,112.66994
2016M11,112.92682
2016M12,113.23773
2017M01,113.4742
2017M02,113.81502
2017M03,114.05943
2017M04,114.36168
2017M05,114.60565
2017M06,114.77837
2017M07,115.02399
2017M08,115.32081
2017M09,115.60543
2017M10,115.79215
2017M11,116.12429
2017M12,116.3552
